crimeID,longitude,latitude
761b97a0dd4508741384c93f3db220cb11f6b02a8899c98174b098b977d70d0,-0.019707,51.432855
783f57d409836a3c4100061d0de3c35b7939ae5a2522d7981f2d7cf7651ede6,-0.065495,51.518087
a937f4eed0c8d06472355ce16112d485406cdbd3cc6f56c1a7701d58d7770df,-0.054185,51.412389
ac473b4ab18ec92c46e7fe4d740db4beb5239269aab2fe5686be35f7820a4c4,-0.110508,51.502428
dc7442939c7f829748a94ab6cd9cccc8b43f0cc204318e9b5c650fcc1cd1475,0.103609,51.608431
f563686ef16cc45ec268f97f910d5b8706263a5b7b3a011a9e5ae4758a0cbc8,-0.020646,51.520594
137418893063486a7936d5512bcdcfe74f6153b81ee4a295dc5a51dbef4aacef,-0.319586,51.54246
175b005d723e30d4555e576bf042294a359afdb4f45226062c9c3e5b08be2425,-0.384188,51.55784
187229d8ec4009f6d67ec3bea67da6e9cc02b3bef7527e6f8b62e6c065222b5d,-0.125899,51.633245
18a5620159517a4e9cfcb23c8ec189156b2b57f42bf4abc9f40c8f5372a64681,-0.073748,51.566711
1a351e786a451f2241076cfaf6cd8c8e2d4e5ddf9295440b8b91d8f73889ef02,0.083877,51.459045
1d69fddabc07602383227ffbf8ffe4691d8a3dcce7ed5d63fb6790089cbd855c,-0.174884,51.601581
1eba95f523351e69158a8fb16f5313687b295ce4e859164987441007f012881b,-0.168804,51.408949
1f203c482897a2b882370dabdf1d778bf9ec66f9b3620e9dcedbbab3d4f455f7,-0.055141,51.48164
2072c8e46d89061ee68034f5a7100d71e1fc5cb58a0e98bad375fe4ac1fc9cbf,0.067189,51.517865
2076f6d42caac884970ce0dd75b4d8f2d510202fac90ca87353ab59388e99922,-0.063193,51.497933
22b980f5c3d186c54633d52d2c78f58cccec9fb3a6093d7d109cf2216175981b,0.040576,51.455481
24063aca899bac2907c0ae67db6009a1bbf1b000a89478a513a5c6970db3c3c4,-0.181638,51.549971
24284a9a058d4dad323fedb17990328105584d9fd19120308a7286395f93897c,-0.224735,51.492891
24705319c970849910f614eae9c1a3d94fa27edb8945ca9e85e7e0a57896c112,-0.138003,51.51507
250e2a13506b0c5463d14bab6ff3f93214db8db70c9b6f845a9b0668b638d76c,-0.07938,51.631621
25e5ad5079b10b9d86a9b27987ffcf2c8ee2b1120addf360e60840f7a9f8a274,-0.284569,51.406654
2679dea630b5872594a2331c0825a823b0083837ccece3a59406dd70221265a9,-0.122594,51.605487
279c4a8989ef34644511debc3f0472a15b2a4227d8587a4b75a733a96816d551,-0.117568,51.587709
29201a40466362474e19eddc8fc8859fed38aaf00f1e9f516a7a9ee4a2361632,-0.249726,51.595563
2ab3d528a16015617ba21fbb68b0a5443b3b1b81b4e5329ec7525d2888407aa2,-0.136771,51.42017
2bb2e0d1df351031e2805d80bf838d411c0723381347ea4d50e7b14a4e13af91,-0.267184,51.630775
2c436b574993db8c486a48bb8969fc11913fdd61ccfc860c93265f5324f7e483,-0.19326,51.442933
2ebe3c8e6eea5ac42fb193f964a6e77c910cbe9c4bf29ba193d9552106cbb3b6,-0.255032,51.544881
2efa5e593cb8ad3f1cbceeeef6ef43ac336773a3ec9ff9858e8cc1a707dac80c,-0.303895,51.463327
3191f24a3eee8540adc2432c6a0d1bcf36e20d299fd1f85cdb5deb802c9efce7,-0.042491,51.475036
32a01ff29275ac9b260b4e89039bbaa03c02c7012bba4251ddd4816664bc8fdb,0.016152,51.542063
3579f1ac386764b6c4dfd518d08a75ea6ff0d4bf66da6cbbd405fd1a8ee8f812,-0.165019,51.368422
357dc7b7ce7219d0fac703477348f8566001385434a7c1df148b8e17bf9588c0,-0.361286,51.431716
35fe7e0be805095a951571584c2ddb0ebebb05c91732839acc70bd85cb7546e9,-0.045933,51.550118
3999e192472346262857a0c4f6901bc70ba7687a4a7e2131c0ca088cace83a34,-0.191549,51.470208
3a5d75725f48ec26f9722f7aaf0479e9513b8ed28e5a3e490f8d7f02b82a5ae9,-0.212705,51.47341
3b2981dd3dd8a925d51c896fd050522025184129b4ab16b83078b1fd4a8de015,-0.055154,51.420715
3c0edba175d6b42d9dc6d3689bfe48247bc70dd0345e930d15c1034213140326,-0.466072,51.549772
3c9d3d3042673b86aa1c26ca68325903f1e0ea45cf2331d61c01c16be18fbf8d,-0.006583,51.444179
3d414670ff05c732eee4cdcb5dca5b67e169455992e04753f32f38ef7caa2222,-0.037001,51.67608
3d892c07ea6a0ec8d8d5285b557e98800c9a869daa9c978edf1928d275392bbe,-0.137324,51.516166
3dbfcba6ae7a6de231e2c0c95ef3e6472b1c15ec4845dce05405a10b4659e088,-0.192311,51.591447
3ebab7cbbb0cff26d94126783e90bb1675acd1025ec3e313d67707f0bc7dd834,0.034468,51.536917
4147f404c764f85b2cbbfa6c6053fcdae3515d883d91619b45e218aab6dcef06,-0.095693,51.477252
4957f98b0f70d1f7687b389e8ab91bcf2b42a66070c2bc675dda2d72ebccd45d,0.048125,51.533415
49616d5fe96b3fae3a172e83dd67f7ce2c192637113148a2a4afec27d7140e6f,-0.049396,51.544358
4b1b622e4bac38e0c15c637350b0b793de92921a3a0565ff18db6c5957f7d36a,-0.169665,51.371885
4cb4c558141920455194912eb54c8af5557f4129c4749ba807f1d9f6953a2be8,0.013547,51.560147
4d4be8765893a6295c1a35cfef336c7197a7947093abb39792774ba980850812,-0.167249,51.42914
4d6af822eab419cf8821bd6213ba5c4bf6c27be9934d454f2a92397b267696fe,-0.142134,51.511314
4dc61a77130a3ec6e92f4833ea323adc5114e31394a1261f23611d6386e94d63,-0.191472,51.365399
4ea0b3b1afca131235bb735049677afaee61553e69829bc1b9a6e31c8816afdc,-0.362494,51.473179
51a85da15b91e60dcd9e8763fcb2fe5f9e0b690d1b31ccf71b969e320c1f965f,-0.052076,51.482263
521b0891bfaddb03bdece82b213be078f738a479425847cf2e95b81495065ad2,-0.2052,51.534732
5452661c842ed4bfdae909b1c4dede252ea594c75cc342359703b6a252f80df2,-0.098289,51.3819
55f8739f3c7d0ae37d5997f9e2c648034b3f2061258af27bcc7a6431997cfec3,-0.24128,51.596899
562110f9fa8889b860baefb94d4709950d6b0bd4c7d417a1f7cce0e2925b4ec9,-0.138915,51.512495
5b7cb293973eaaa776fbffed683bfa0f885de153cbc8306e1b775f1c926c21d0,-0.054885,51.568495
5bb7675093e18664c366db25d1d2dca8a0f88b0314a13051351f56bc210197c6,-0.242088,51.416968
5cda869622b51f4ad5eb66dc1c90746fcecf0522d90ec2caa6e66eaaa67896a2,0.017094,51.480509
5da131e97973dbbcb2cbf2e1bae89200abba3e508b3267b88ac1d7e474367fcd,-0.072011,51.548077
5f2fb926e8d22f2860d8e32bc006fe81ffd42a2c610e0a3f80648f1446b19f0f,-0.020977,51.566148
5f4f0c2c3f0a8d34b4649af1447ce190c43978b177bd15aafd7bd7f49c9f4bd4,-0.16518,51.518061
