crimeID,longitude,latitude
447a81a19157c2f6ef97accacebaa66d8153e19ca43c16ca452e6d8d447823,-0.009691,51.483548
112f8b2a663198263314a16a8b52f1f6835cefcbcf0a35388c98ee5db23dd82,-0.118888,51.513075
1b679ce8cc565f83868ff4a0829af95442b51ffdf4366341a850c6f248f7d41,0.076327,51.540042
1d2872ccd061abc7b350b54a55a3be5309f19382ccac26d2f4a55e53e3fdde0,-0.418139,51.500839
28449b49ea4cf6214292dd19df4cf7700fab064cb1be33219eaeef6fbf0e16a,-0.134987,51.46327
6b745f8b2ac34e26345bccfad2dc9b8901ee2d905e2beab3457cdd366ee93d1,0.063946,51.492689
6f98975ecfe326d5e13a691623426c80d43b20470dc2d15e62e192fe0567ce6,-0.198751,51.542493
75d9ab17bbcc3ed268f8f608635ffc63bdb5992566b424d7268e6228cfcee38,0.01742,51.49214
7b1831dd1e72101f4bd788777c8a7182c5df8d58fc7ef56f4118728cab4bcd6,0.108427,51.575913
7df64cd68ac7124133805f23cbd44beed1c7abe7caebf32d636def70b8ed4c1,-0.097732,51.559728
7e4bed22d78d47d660d835fe0f585da5256fae1d49b6f6a3117b4de884f5d8a,-0.195253,51.456633
7f7192e08b7c098cd315097f114e19f6e53c7a0c415a655d983067bf07a0def,-0.060842,51.620426
8028e68510231d179b919f2d5c46ee5c59cf0e0916e342c523a3da6882b4b46,-0.395826,51.568804
82fe0dd600b32e7ec4295c14772991e2dffa2f9e07c162e71b90bf42e96c3a7,0.11003,51.461387
8f29dc31e94d60f43eebd7006466d1b9cceac90ef434beb939673daf8397f15,-0.316302,51.516965
8fb428352704b4665200d8406bd71a16689681af18eca9bda99f108db9cec4c,-0.081064,51.570824
916917fa5d47e29573aa230f3b7d255de462bb01d3dda7691b43d724d026d4a,-0.286444,51.488386
9571c97f43ea9b59e63be2a0f5d03f8d382bbda7a98a0a4e341b06fd0986e93,-0.412302,51.568875
9f1ad1fd73bbe58f8ec0f206010c282b58795f3817f68e547639e09910e2d42,-0.173402,51.404326
a682e196d41c32e7e24da8a50ad9ff9c34b16f4aca486b89fa542a4a9188b5c,-0.14054,51.537349
a72b315ae3e85f883c28ccf512f6f96ab5ce5b940dd531edab96291d5d31a00,-0.23688,51.480916
